	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Trial1.fna_assembly_LT906445.1_1	Trial1.fna_assembly	LT906445.1	1	1	1425	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.21]; Bacterial dnaA protein helix-turn-helix [PF08299.14]; IstB-like ATP binding protein [PF01695.20]; ATPase family associated with various cellular activities (AAA) [PF00004.32]					0
Trial1.fna_assembly_LT906445.1_2	Trial1.fna_assembly	LT906445.1	2	1832	2944	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.19]; DNA polymerase III beta subunit, C-terminal domain [PF02768.18]; DNA polymerase III beta subunit, N-terminal domain [PF00712.22]					0
Trial1.fna_assembly_LT906445.1_3	Trial1.fna_assembly	LT906445.1	3	3198	3431	1	C	K14761	ribosome-associated protein								S4 domain [PF13275.9]					0
Trial1.fna_assembly_LT906445.1_4	Trial1.fna_assembly	LT906445.1	4	3435	4535	1	C	K03629	DNA replication and repair protein RecF								RecF/RecN/SMC N terminal domain [PF02463.22]; AAA domain [PF13476.9]; AAA ATPase domain [PF13175.9]; AAA domain [PF13514.9]					0
Trial1.fna_assembly_LT906445.1_5	Trial1.fna_assembly	LT906445.1	5	4522	5424	1	D										Dna[CI] antecedent, DciA [PF05258.15]					0
Trial1.fna_assembly_LT906445.1_6	Trial1.fna_assembly	LT906445.1	6	5439	5687	1	C	K24648	extracellular matrix regulatory protein B													0
Trial1.fna_assembly_LT906445.1_7	Trial1.fna_assembly	LT906445.1	7	5765	7666	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.28]; DNA gyrase B subunit, carboxyl terminus [PF00986.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Toprim domain [PF01751.25]					0
Trial1.fna_assembly_LT906445.1_8	Trial1.fna_assembly	LT906445.1	8	7677	9158	1	C	K11733	lysine-specific permease								Amino acid permease [PF00324.24]; Amino acid permease [PF13520.9]					0
Trial1.fna_assembly_LT906445.1_9	Trial1.fna_assembly	LT906445.1	9	9199	9516	1	D										Putative heavy-metal-binding [PF01906.20]					0
Trial1.fna_assembly_LT906445.1_10	Trial1.fna_assembly	LT906445.1	10	9607	12669	-1	D										AcrB/AcrD/AcrF family [PF00873.22]					0
Trial1.fna_assembly_LT906445.1_11	Trial1.fna_assembly	LT906445.1	11	12666	13730	-1	C	K18302	membrane fusion protein, multidrug efflux system								Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.8]; HlyD family secretion protein [PF13437.9]; Cation efflux system protein CusB domain 1 [PF00529.23]					0
Trial1.fna_assembly_LT906445.1_12	Trial1.fna_assembly	LT906445.1	12	14169	15524	-1	C	K03699	magnesium and cobalt exporter, CNNM family								Cyclin M transmembrane N-terminal domain [PF01595.23]; Transporter associated domain [PF03471.20]; CBS domain [PF00571.31]					0
Trial1.fna_assembly_LT906445.1_13	Trial1.fna_assembly	LT906445.1	13	15831	16430	1	D										Histone methylation protein DOT1 [PF08123.16]; Methyltransferase small domain [PF05175.17]; Methyltransferase domain [PF13679.9]; Ribosomal RNA adenine dimethylase [PF00398.23]					0
Trial1.fna_assembly_LT906445.1_14	Trial1.fna_assembly	LT906445.1	14	16873	17997	1	E															0
Trial1.fna_assembly_LT906445.1_15	Trial1.fna_assembly	LT906445.1	15	18382	20415	1	D										Sulfatase [PF00884.26]					0
Trial1.fna_assembly_LT906445.1_16	Trial1.fna_assembly	LT906445.1	16	20512	21480	1	C	K25652	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-]								Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]; Glycosyltransferase like family 2 [PF10111.12]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
